"Name","Type","address","suburb","State","zipcode","latitude","longitude"
"Shaiza's Curry House","Restaurants","121 King St"," Newtown","NSW",2042,-33.892937,151.184019
"The Italian Bowl","Restaurants","255 King St"," Newtown","NSW",2042,-33.895812,151.180706
"Green Gourmet","Restaurants","115 King St"," Newtown","NSW",2042,-33.892893,151.184186
"Mamma Maria Upstairs Restaurant","Restaurants","239a Cnr. King & Church St"," Newtown","NSW",2042,-33.895744,151.181159
"Newtown Thai","Restaurants","177 King St"," Newtown","NSW",2042,-33.894111,151.182484
"Steki Taverna","Restaurants","2 O'connell St"," Newtown","NSW",2042,-33.894,151.182357
"Khao-san Real Thai","Restaurants","528-528a King St"," Newtown","NSW",2042,-33.902541,151.179474
"LilliPilli On King","Restaurants","644 King St"," Newtown","NSW",2042,-33.905467,151.180862
"Thai Times & Nine","Restaurants","45 King St"," Newtown","NSW",2042,-33.892331,151.186403
"Oscillate Wildly","Restaurants","275 Australia St"," Newtown","NSW",2042,-33.897028,151.178325
"Atom Thai Restaurant","Restaurants","130 King St"," Newtown","NSW",2042,-33.893409,151.183964
"Linda'sOn King Restaurant","Restaurants","341 King St"," Newtown","NSW",2042,-33.898272,151.178056
"Trisha's","Restaurants","377 King St"," Newtown","NSW",2042,-33.899182,151.177582
"Cafe Romano","Restaurants","6 King St"," Newtown","NSW",2042,-33.892445,151.187526
"Suan I-San Restaurant","Restaurants","480 King St"," Newtown","NSW",2042,-33.901258,151.178885
"Inca's Restaurant Peruvian Cuisine Woodfired BBQ","Restaurants","92 Enmore Rd"," Newtown","NSW",2042,-33.898962,151.174749
"Peasants Feast Organic Restaurant","Restaurants","121a King St"," Newtown","NSW",2042,-33.892951,151.18398
"Babble-On","Restaurants","463 King St"," Newtown","NSW",2042,-33.901653,151.17851
"Indian Fantasy","Restaurants","121 King St"," Newtown","NSW",2042,-33.892937,151.184019
"Galanga","Restaurants","182 King St"," Newtown","NSW",2042,-33.894497,151.182773
"Giraffe Wrap Bar","Restaurants","Lvl 1/ 124 King St"," Newtown","NSW",2042,-33.893426,151.184106
"Dumpling King Chinese Restaurant","Restaurants","194 King St"," Newtown","NSW",2042,-33.894701,151.182572
"Hikaru Japanese Courtyard Restaurant","Restaurants","134 King St"," Newtown","NSW",2042,-33.893554,151.183721
"Arabella's","Restaurants","489 King St"," Newtown","NSW",2042,-33.90232,151.178845
"Bar Prego","Restaurants","Cnr King St And Missenden Rd"," Newtown","NSW",2042,-33.893466,151.183528
"Newtons Cocina","Restaurants","403 King St"," Newtown","NSW",2042,-33.899966,151.177746
"Splash Seafood","Restaurants","226 King St"," Newtown","NSW",2042,-33.895369,151.181928
"Arabella","Restaurants","Shop 12 489 - 491 King St"," Newtown","NSW",2042,-33.90232,151.178845
"Kammadhenu","Restaurants","171 King St"," Newtown","NSW",2042,-33.893899,151.182653
"Izote Mexican","Restaurants","6 King St"," Newtown","NSW",2042,-33.892445,151.187526
"Kammadhenu Srilankan","Restaurants","171 King St"," Newtown","NSW",2042,-33.893899,151.182653
"Thai Passion","Restaurants","234 King St"," Newtown","NSW",2042,-33.895539,151.181754
"Kammadhenu","Restaurants","377 King St"," Newtown","NSW",2042,-33.899182,151.177582
"Masala House","Restaurants","83 Enmore Rd"," Newtown","NSW",2042,-33.898482,151.174742
"Moo Gourmet Burgers","Restaurants","232 Kings St"," Newtown","NSW",2042,-33.895505,151.181795
"Prasits Thai Take Away","Restaurants","480 King St"," Newtown","NSW",2042,-33.901258,151.178885
"Sherpa Kitchen Nepalese Cuisine","Restaurants","165 King St"," Newtown","NSW",2042,-33.893798,151.182775
"Ritez Janani Pty Ltd","Restaurants","189 Missenden Rd"," Newtown","NSW",2042,-33.892861,151.183044
"Pastizzi Pasta Cafe","Restaurants","523 King St"," Newtown","NSW",2042,-33.90333,151.179239
"Doytao Thai Restaurant - Newtown","Restaurants","543 King St"," Newtown","NSW",2042,-33.90368,151.17968
"Thai Yindee Kitchen","Restaurants","186 King St"," Newtown","NSW",2042,-33.894567,151.182702
"Twelve Restaurant","Restaurants","222 King St"," Newtown","NSW",2042,-33.895269,151.182025
"Vina Vietnamese Restaurant","Restaurants","395 King St"," Newtown","NSW",2042,-33.899757,151.177665
"New In Town","Restaurants","549 King St"," Newtown","NSW",2042,-33.903808,151.179753
"Newtown Thai II","Restaurants","105 King St"," Newtown","NSW",2042,-33.892766,151.184653
"The Wine Plate","Restaurants","62-64 King St"," Newtown","NSW",2042,-33.892918,151.186057
"Green Palace Thai Vegetarian","Restaurants","182 King St"," Newtown","NSW",2042,-33.894497,151.182773
"Astino's Cafe & Restaurant","Restaurants","284 King St"," Newtown","NSW",2042,-33.896496,151.180494
"Oldtown In Newtown","Restaurants","Shop 6/ 503 King St"," Newtown","NSW",2042,-33.90273,151.179095
"Blossoming Lotus","Restaurants","182 King St"," Newtown","NSW",2042,-33.894497,151.182773
"Gigi","Restaurants","379 King St"," Newtown","NSW",2042,-33.899271,151.177495
"Tandoori Express","Restaurants","581 King St"," Newtown","NSW",2042,-33.905167,151.180447
"Coopers Hotel Newtown","Restaurants","221 King St"," Newtown","NSW",2042,-33.895079,151.181469
"Cafe Newtown","Restaurants","329 King St"," Newtown","NSW",2042,-33.897999,151.1783
"Thai La-Ong","Restaurants","89 King St"," Newtown","NSW",2042,-33.892836,151.18545
"Sushi Bar Kai On King","Restaurants","129 King St"," Newtown","NSW",2042,-33.893014,151.183772
"As Aseel Newtown","Restaurants","189 Missenden Rd"," Newtown","NSW",2042,-33.892861,151.183044
"DELHI 'O' DELHI","Restaurants","3-13 Erskineville Rd"," Newtown","NSW",2042,-33.897442,151.180369
"Asian King Restaurant","Restaurants","121 King St"," Newtown","NSW",2042,-33.892937,151.184019
"Zheng Hao Chinese Restaurant","Restaurants","83 Enmore Rd"," Newtown","NSW",2042,-33.898482,151.174742
"Baiboon Thai","Restaurants","126 King St"," Newtown","NSW",2042,-33.893434,151.184055
"Gladstone Park Cafe/Bistro","Restaurants","420 King St"," Newtown","NSW",2042,-33.900136,151.17837
"Rice Paper Vietnamese Cuisine","Restaurants","131 King St"," Newtown","NSW",2042,-33.893109,151.183726
"Naomi Hart","Restaurants","33 Enmore Rd"," Newtown","NSW",2042,-33.898201,151.17681
"Iiza Izakaya Japanese Restaurant","Restaurants","184 King St"," Newtown","NSW",2042,-33.89453,151.182736
"The Sultans Table","Restaurants","179 Enmore Rd"," Enmore","NSW",2042,-33.898696,151.172176
"Kafenes Greek Restaurant","Restaurants","149 Enmore Rd"," Enmore","NSW",2042,-33.898646,151.17299
"La Ricetta Ristorante Italiano","Restaurants","143 Enmore Rd"," Enmore","NSW",2042,-33.898628,151.173155
"Emma's On Liberty Lebanese Eatery","Restaurants","59 Liberty St"," Enmore","NSW",2042,-33.896024,151.171372
"Razors Edge Restaurant","Restaurants","129 Enmore Rd"," Enmore","NSW",2042,-33.898586,151.173483
"Bank's Thai Restaurant","Restaurants","91 Enmore Rd"," Enmore","NSW",2042,-33.89871,151.174711
"African Express Eatery","Restaurants","150 Enmore Rd"," Enmore","NSW",2042,-33.899088,151.173389
"Papa Luigi's Italian Seafood & Pizzeria Restaurant","Restaurants","200 Enmore Rd"," Enmore","NSW",2042,-33.89941,151.171661
"Thai Ingredients","Restaurants","158 Enmore Rd"," Enmore","NSW",2042,-33.899118,151.17308
"Zafran Take Away Restaurant","Restaurants","194 Enmore Rd"," Enmore","NSW",2042,-33.899374,151.171828
"Papa Luigi's Italian Restaurant & Pizzeria","Restaurants","200 Enmore Rd"," Enmore","NSW",2042,-33.89941,151.171661
"Palace Of India","Restaurants","180 Enmore Rd"," Enmore","NSW",2042,-33.899238,151.172386
"Russo & Russo","Restaurants","158 Enmore Rd"," Enmore","NSW",2042,-33.899118,151.17308
"Open Thai","Restaurants","32 Victoria Rd"," Marrickville","NSW",2204,-33.906021,151.172512
"Golden Barley Bistro","Restaurants","167 Edgeware Rd"," Marrickville","NSW",2204,-33.904488,151.173054
"Stir Crazy Thai","Restaurants","128 Erskinville Rd"," Erskineville","NSW",2043,-33.899574,151.185046
"Cataluna Espresso Tapas & Wine Bar","Restaurants","641 King St"," St Peters","NSW",2044,-33.907397,151.181184
"Maggies Thai","Restaurants","75 Erskineville Rd"," Erskineville","NSW",2043,-33.900034,151.184299
"Dixon's Roofing Pty Limited","Restaurants","17 May St"," St Peters","NSW",2044,-33.908635,151.180355
"Chill Cafe & Restaurant","Cafes","477 King St"," Newtown","NSW",2042,-33.902046,151.178713
"Great Aunty Three","Cafes","Ste 1/ 115 Enmore Rd"," Enmore","NSW",2042,-33.89859,151.173804
"Chelsea's On King Guest House","Hotels-Accommodation","415 King St"," Newtown","NSW",2042,-33.900401,151.177861
"Pizzeria Torino Restaurant","Take Away Food","155 Enmore Rd"," Enmore","NSW",2042,-33.898659,151.172871
"McDonald's Family Restaurants","Take Away Food","Shop 3c Marrickville Metro 34 Victoria Rd"," Marrickville","NSW",2204,-33.90681,151.171692
"Pubmart","Liquor Stores-Retail","387-391 King St"," Newtown","NSW",2042,-33.899589,151.177602
"Marlborough Hotel Bottle Shop","Liquor Stores-Retail","Cnr King And Missendon Sts"," Newtown","NSW",2042,-33.893466,151.183528
"Pubmart","Liquor Stores-Retail","167- 169 Enmore Rd"," Enmore","NSW",2042,-33.898698,151.17252
"Enmore Fine Wines","Liquor Stores-Retail","141 Enmore Rd"," Enmore","NSW",2042,-33.898628,151.173155
"Red Bottle","Liquor Stores-Retail","219 Mitchell Rd"," Alexandria","NSW",2015,-33.907695,151.185918
"Rose Of Australia Bottle Shop","Liquor Stores-Retail","1 Swanson St"," Erskineville","NSW",2043,-33.899854,151.185037
"Erskineville Cellars","Liquor Stores-Retail","87 Erskineville Rd"," Erskineville","NSW",2043,-33.900061,151.184603
"Rose Of Aust Hotel","Liquor Stores-Retail","1 Swanson St"," Erskineville","NSW",2043,-33.899854,151.185037
